videoId,videoTitle,datePosted,duration,totalSeconds,views,likes,comments
VsarYwQyoss,BEATING MINECRAFT HARDCORE PART 2 ⛏️🍄 ft. Kai Cenat,2024-08-18T22:43:54Z,10:57:35,39455,5568001,155269,1051
yPqc2vJeDEs,BEATING MINECRAFT HARDCORE ⛏️🍄 ft. Kai Cenat,2024-08-18T20:42:35Z,11:35:12,41712,5275425,176245,2785
XAVIRaqQQyg,Speed beats Travis Scott in a race😭,2024-08-16T22:27:52Z,00:00:31,31,6056965,404892,3382
U84rZ3SI2a0,irl stream in New York at Fanatics Fest,2024-08-16T21:44:07Z,03:56:18,14178,2784194,78634,1837
SEIaP0y8ohE,JUMPED OVER 2 CARS….HISTORY!🏎️💨 #ishowspeed,2024-08-03T22:15:34Z,00:00:33,33,5907249,427712,7826
VQLPMbzca6w,irl JUMPING OVER 2 CARS🏎️💨,2024-08-03T20:32:22Z,00:31:24,1884,1966600,122496,6442
_e1E1Endh2Y,ENGLISH OR SPANISH?,2024-07-30T21:03:03Z,02:14:28,8068,4134691,121852,7608
MS_eha4MYUY,RETURN STREAM + GOODBYE TO DOG 💔,2024-07-27T21:04:43Z,02:10:18,7818,2980620,111291,3415
P_CutuC9UUc,⛓️BEATING CHAINED TOGETHER⛓️ ft. Kai Cenat,2024-07-22T11:04:39Z,01:01:17,3677,3271956,154167,3976
uw2AaFkmzOc,⛓️CHAINED TOGETHER⛓️ ft. Kai Cenat,2024-07-22T10:37:10Z,11:31:22,41482,9677912,314412,3848
4Gu8Hq5hpvk,27 million.....,2024-07-20T09:32:39Z,00:09:37,577,2701509,151262,8223
cJoiHG4U0Ms,"🥚 challenge w/ MrBeast, Kai & Logan Paul",2024-07-19T15:30:22Z,00:00:22,22,10171835,485289,2536
vf_EczgiP1s,irl stream in Ireland 🇮🇪,2024-07-19T14:32:11Z,01:39:23,5963,4224842,159408,7904
vJiSTu7Za-c,irl stream in Denmark 🇩🇰,2024-07-18T11:39:20Z,02:27:00,8820,4818713,188812,11465
JMnV1OREFDo,irl stream returning to Norway 💀🇳🇴,2024-07-17T14:39:39Z,03:08:00,11280,8330543,256155,10563
VxDubYjDux8,irl stream in Hungary 🇭🇺,2024-07-16T19:49:42Z,01:52:40,6760,4009536,167064,8872
f0DmRB1LGws,irl stream in Austria 🇦🇹,2024-07-16T13:34:44Z,02:58:15,10695,4285499,200264,4811
evopWnMeCM0,irl stream in Czech Republic 🇨🇿,2024-07-13T14:08:46Z,01:41:57,6117,3607681,148009,7662
OAtqkkQ3eLE,irl stream in Romania 🇷🇴,2024-07-12T11:32:32Z,03:31:46,12706,6183243,283022,9682
xhxL1h2RiEE,irl stream in Bulgaria 🇧🇬,2024-07-11T18:14:09Z,02:35:42,9342,4833302,200066,6254
SCa89hd_eJY,Zlatan embarrasses Speed 😂 #ishowspeed,2024-07-09T20:25:57Z,00:00:32,32,35372452,1587690,12266
tzslN2r1rgY,irl stream in Milan Italy 🇮🇹 ft. Zlatan Ibrahimovic,2024-07-09T19:36:52Z,01:34:21,5661,5903216,255374,6715
NCA_O0oSItM,irl stream in Greece 🇬🇷,2024-07-08T19:00:46Z,02:47:38,10058,5351023,211552,9869
